Category,Component,Quantity,Description
"Logic IC","74LS00 (Quad 2-input NAND)",2,"Control logic"
"Logic IC","74LS02 (Quad 2-input NOR)",1,"Control logic"
"Logic IC","74LS04 (Hex Inverter)",4,"Clock, RAM inversion, Control"
"Logic IC","74LS08 (Quad 2-input AND)",3,"Clock, Control logic"
"Logic IC","74LS20 (Dual 4-input NAND)",1,"Control logic"
"Logic IC","74LS32 (Quad 2-input OR)",1,"Clock module logic"
"Logic IC","74LS86 (Quad 2-input XOR)",2,"ALU (Subtraction logic)"
"Logic IC","74LS138 (3-to-8 Decoder)",1,"Step counter decoding"
"Logic IC","74LS157 (Quad 2-to-1 Multiplexer)",2,"RAM address selection (Run/Prog mode)"
"Logic IC","74LS161 (4-bit binary counter)",2,"Program Counter (x1), Step Counter (x1)"
"Logic IC","74LS173 (4-bit D-type register)",7,"Registers A(x2), B(x2), IR(x2), MAR(x1)"
"Memory IC","74LS189 (64-bit RAM)",2,"16x8 RAM module"
"Logic IC","74LS245 (Octal Bus Transceiver)",6,"Bus output for A, B, ALU, RAM, IR, PC"
"Logic IC","74LS273 (Octal D Flip-Flop)",1,"Output register"
"Logic IC","74LS283 (4-bit binary full adder)",2,"ALU (Addition logic)"
"Memory IC","28C16 EEPROM",3,"Microcode ROM (x2), 7-segment display logic (x1)"
"Timer IC","555 Timer",3,"Clock module (Astable, Monostable, Bistable)"
"LED / Display","LED 5mm (Red, Blue, Green, Yellow)",60,"Status indicators for all modules"
"LED / Display","7-Segment Display (Common Cathode)",4,"Output display module"
"Passive","Resistor 220 Ohm",60,"LED current limiting"
"Passive","Resistor 1k Ohm",10,"Pull-ups, pull-downs, 555 timers"
"Passive","Resistor 10k Ohm",5,"Pull-ups for buttons/switches"
"Passive","Potentiometer 1M Ohm",1,"Clock speed control"
"Passive","Capacitor 0.1uF",40,"Bypass/Decoupling (One for almost every IC)"
"Passive","Capacitor 1uF, 0.01uF, 10uF",5,"Clock timing and debouncing capacitors"
"Mechanical","Breadboard (830 tie-points)",14,"Base for the entire build"
"Mechanical","Push button switch (Momentary)",5,"Manual clock, RAM write, Reset"
"Mechanical","DIP Switch (8-position)",1,"Manual RAM programming"
"Mechanical","22 AWG Solid Core Wire",1,"Spools of different colors (Red, Blk, Blue, Yel...)"
